event_id,n_images_theory,n_images_detected,img_snrs,img_mags,img_delays_days,img_x_arcsec,img_y_arcsec,img_kappa,img_gamma1,img_gamma2,img_kappa_gal
1937,5,4,"[12.83, 8.06, 18.17, 11.3, 0.01]","[-3.3266, 3.2791, 9.7527, -6.5715, 0.0]","[8.869601, 0.0, 6.922726, 7.227066, 40.24344]","[0.03085, 0.52867, -0.53236, -0.44048, -0.00013]","[-0.46798, 0.36373, -0.13909, 0.21945, -0.0001]","[0.3592, 0.3312, 0.3627, 0.3189, 367.1389]","[0.7968, -0.1185, -0.5289, -0.3089, -63.1118]","[0.2764, -0.3583, -0.1546, 0.7216, -116.9228]","[0.031, 0.05749, 0.07988, 0.03435, 365.2913]"
1938,5,4,"[24.41, 19.31, 27.91, 21.61, 0.9]","[2.7169, -3.4873, 6.1314, -2.8058, 0.0058]","[0.0, 1589.541, 1431.989, 1707.266, 1992.465]","[-5.26501, 2.99003, 3.84768, -0.77753, 0.03014]","[-3.93515, -1.97026, 1.93509, 3.02849, 0.03771]","[0.3519, 0.9673, 0.5374, 1.0532, 14.5655]","[-0.0567, -0.1349, -0.1321, 0.4738, 2.1048]","[-0.2208, 0.5193, -0.183, 0.3671, -2.5663]","[0.00101, 0.00587, 0.00301, 0.01502, 11.02048]"
1939,5,4,"[31.05, 13.02, 18.05, 30.89, 0.02]","[2.9003, -1.5796, -1.3303, 2.9291, 0.0]","[0.0, 51.37614, 60.68445, 0.975847, 190.5717]","[0.60122, -0.67573, 0.63473, -0.69817, 3e-05]","[-1.10691, -0.48053, 0.45991, 1.03667, 3e-05]","[0.3952, 0.6799, 0.7042, 0.3953, 1300.661]","[0.0645, -0.3714, -0.3866, 0.0145, 233.6697]","[0.1297, -0.7731, -0.8305, 0.155, -694.846]","[0.00132, 0.03311, 0.04029, 0.0012, 1296.879]"
1940,5,4,"[24.33, 23.8, 19.21, 31.99, 0.73]","[-3.7529, 4.229, 4.3382, -1.7652, 0.001]","[11.93591, 0.0, 0.120393, 34.25152, 72.11482]","[-0.03645, -0.96723, 0.94804, 0.02971, 0.00018]","[-0.8594, -0.28369, -0.29102, 0.69874, 0.00291]","[0.6093, 0.4346, 0.4285, 0.7372, 33.884]","[0.6471, -0.231, -0.2169, 0.7967, 10.5928]","[-0.0197, -0.1728, 0.2215, -0.0281, -2.5514]","[0.12075, 0.03255, 0.02931, 0.19445, 31.81134]"
1941,5,3,"[7.77, 12.02, 11.82, 9.98, 0.4]","[3.0091, -2.3248, -2.3487, 3.4838, 0.0019]","[0.0, 0.655365, 0.64876, 0.226381, 1.702961]","[-0.0313, 0.15731, -0.15321, 0.02816, 4e-05]","[-0.22293, 2e-05, 0.03321, 0.21, 0.00023]","[0.3704, 0.5581, 0.5482, 0.3943, 23.7802]","[0.2492, -0.7877, -0.7237, 0.2786, 1.8616]","[-0.0444, 0.07, 0.3258, -0.0473, -1.2905]","[0.12239, 0.2563, 0.25263, 0.1396, 22.72005]"
1942,5,4,"[88.01, 78.65, 88.55, 125.23, 0.1]","[4.5565, -1.9723, 5.1847, -6.5307, 0.0]","[0.015559, 7.172855, 0.0, 1.069864, 33.52188]","[0.30537, -0.18211, -0.11189, 0.21403, -0.00011]","[-0.08128, -0.18081, 0.27798, 0.20147, -0.0001]","[0.2914, 0.375, 0.2466, 0.3253, 194.0903]","[-0.4554, 0.1131, 0.5023, 0.0603, -29.7528]","[0.2743, -0.9406, 0.3498, -0.7776, -41.3908]","[0.06699, 0.13286, 0.03956, 0.09583, 193.0802]"
1943,5,4,"[10.82, 13.32, 0.18, 118.55, 117.97]","[-1.8565, 3.0293, 0.0038, 218.2363, -216.0863]","[7.942834, 0.0, 13.4679, 4.931226, 4.931232]","[-0.22657, 0.48146, -0.00294, -0.11569, -0.10776]","[-0.26446, -0.09502, -0.00146, 0.38291, 0.38551]","[0.7242, 0.3266, 18.1369, 0.4528, 0.4569]","[0.1022, -0.3168, 0.7363, 0.4308, 0.4472]","[-0.7773, 0.1516, -5.3012, 0.3305, 0.3156]","[0.36569, 0.05684, 17.00695, 0.14365, 0.14709]"
1944,5,5,"[35.64, 34.85, 32.92, 19.28, 8.2]","[4.2817, -4.7588, 4.6999, -1.8118, 0.2694]","[0.0, 477.7483, 136.7225, 1589.801, 1599.068]","[-0.73027, 8.04175, 8.77924, -1.89409, -0.53193]","[-11.62743, -3.50773, 7.04364, 0.9832, 0.26952]","[0.4888, 0.7891, 0.5056, 1.7343, 3.7663]","[0.1565, -0.3306, -0.1141, -0.5873, -1.1746]","[0.0569, 0.3812, -0.1364, 0.8638, 1.6004]","[0.00174, 0.00848, 0.00267, 0.21793, 1.55256]"
1945,5,3,"[16.28, 16.12, 5.11, 15.83, 0.04]","[2.4308, -2.1642, -0.4404, 2.0968, 0.0001]","[3.040346, 7.968719, 37.05636, 0.0, 63.31279]","[0.11274, 0.56154, -0.36747, 0.51319, -0.00148]","[-0.70427, -0.18875, 0.0803, 0.57889, 0.00014]","[0.2577, 0.4085, 0.6579, 0.2632, 127.8249]","[0.2248, -0.6791, -1.3196, -0.104, -39.3258]","[0.2986, 0.5922, 0.8041, -0.2348, -5.5712]","[0.01886, 0.06314, 0.23269, 0.03006, 126.4168]"
1946,5,4,"[22.85, 23.67, 21.41, 53.12, 0.07]","[2.1425, -1.5074, -1.048, 2.163, 0.0]","[0.0, 12.89263, 19.854, 0.51878, 81.42258]","[-0.53999, 0.36832, -0.32729, 0.6419, -2e-05]","[-0.59589, -0.43378, 0.4066, 0.45975, 6e-05]","[0.276, 0.3637, 0.381, 0.2692, 685.6055]","[0.0139, 0.0666, 0.1155, -0.1795, 220.2677]","[-0.2394, 1.0314, 1.1507, -0.1989, -81.721]","[0.02953, 0.02833, 0.03742, 0.01952, 684.3382]"
