event_id,lens_einstein_radius,lens_max_sep,lens_flux_ratio,src_pos_x_arcsec,src_pos_y_arcsec,lens_type_flag,is_subhalo,subhalo_frac,host_halo_type,host_halo_z,host_halo_mass,host_halo_x,host_halo_y,host_halo_e,host_halo_pa,host_halo_param,central_gal_type,central_gal_z,central_gal_mass,central_gal_x,central_gal_y,central_gal_e,central_gal_pa,central_gal_param,shear_type,shear_z,shear_mass,shear_x,shear_y,shear_e,shear_pa,shear_param,subhalo_type,subhalo_z,subhalo_mass,subhalo_x,subhalo_y,subhalo_e,subhalo_pa,subhalo_param,satellite_type,satellite_z,satellite_mass,satellite_x,satellite_y,satellite_e,satellite_pa,satellite_param
1937,0.5709636,1.174137,1.0,0.03232975,0.0351364,0,False,-1.0,0,0.846,1002631000000.0,0.0,0.0,0.2522316,154.5197,7.692458,1,0.846,41195010000.0,0.0,0.0,0.4594672,117.0808,0.05352157,2,0.846,6.48,0.0,0.0,0.1620343,37.03546,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1938,3.96818,10.83978,1.0,-0.6709775,-0.625551,0,False,-1.0,0,0.883,76930480000000.0,0.0,0.0,0.5546899,35.87382,7.160459,1,0.883,301629900000.0,0.0,0.0,0.2737101,3.585693,0.4099252,2,0.883,4.61,0.0,0.0,0.06416897,130.4301,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1939,0.7651398,2.506663,1.0,-0.0223421,-0.01569191,0,False,-1.0,0,1.269,7943749000000.0,0.0,0.0,0.3798169,128.0486,5.538153,1,1.269,97199880000.0,0.0,0.0,0.6903489,145.6134,0.04263778,2,1.269,6.36,0.0,0.0,0.1165804,113.1101,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1940,0.7332314,1.915283,1.0,-0.0005956075,-0.08426586,0,False,-1.0,0,0.727,7563734000000.0,0.0,0.0,0.1967199,-8.369262,9.351951,1,0.727,135556800000.0,0.0,0.0,0.3594617,-9.931385,0.235508,2,0.727,1.64,0.0,0.0,0.08020375,7.655047,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1941,0.1839422,0.4369884,1.0,-0.0008533069,-0.005771091,0,False,-1.0,0,0.618,333589500000.0,0.0,0.0,0.2350957,-61.20797,8.3415,1,0.618,7273509000.0,0.0,0.0,0.05056226,-45.61589,0.1018744,2,0.618,6.87,0.0,0.0,0.1707413,74.99137,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1942,0.3347315,0.5506147,1.0,0.01788907,0.0212405,0,False,-1.0,0,1.424,1184295000000.0,0.0,0.0,0.275802,102.2555,5.315129,1,1.424,37263120000.0,0.0,0.0,0.3387867,108.4713,0.04427173,2,1.424,2.71,0.0,0.0,0.09873909,-19.44293,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1943,0.3444072,0.7648508,1.0,0.06124781,0.01124114,0,False,-1.0,0,0.83,889683500000.0,0.0,0.0,0.2273026,145.0218,6.95711,1,0.83,37130140000.0,0.0,0.0,0.447733,152.9018,0.1934873,2,0.83,11.22,0.0,0.0,0.03165293,-3.286019,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1944,9.503767,20.95327,1.0,1.616657,-0.947121,0,False,-1.0,0,0.377,198581200000000.0,0.0,0.0,0.3483094,-116.8063,7.269331,1,0.377,605878300000.0,0.0,0.0,0.2820135,-99.19905,1.318489,2,0.377,7.31,0.0,0.0,0.06801412,63.92814,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1945,0.6956769,1.344196,1.0,0.1760013,-0.04373505,0,False,-1.0,0,1.029,1644235000000.0,0.0,0.0,0.4125942,78.153,5.983954,1,1.029,61612090000.0,0.0,0.0,0.3486528,104.5101,0.08171552,2,1.029,5.67,0.0,0.0,0.2082936,67.4226,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1946,0.4745734,1.584685,1.0,0.02584631,-0.03208926,0,False,-1.0,0,0.934,6868246000000.0,0.0,0.0,0.4187963,-132.6119,2.812551,1,0.934,73724840000.0,0.0,0.0,0.5201694,-196.5372,0.05203119,2,0.934,4.65,0.0,0.0,0.1736407,43.32896,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
