event_id,n_images_theory,n_images_detected,img_snrs,img_mags,img_delays_days,img_x_arcsec,img_y_arcsec,img_kappa,img_gamma1,img_gamma2,img_kappa_gal
2129,3,2,"[32.44, 16.58, 0.19]","[4.5185, -1.3479, 0.0002]","[0.0, 41.05602, 65.08337]","[-0.65706, 0.37893, 0.00201]","[-0.22521, 0.01907, 0.00033]","[0.3674, 0.6087, 74.1566]","[-0.3645, -0.9453, -9.9678]","[-0.2145, -0.0368, -6.1059]","[0.02698, 0.12358, 72.30049]"
2131,5,4,"[14.48, 12.52, 16.44, 21.43, 0.43]","[-2.5506, 5.0825, 4.7798, -4.7801, 0.0044]","[3.910148, 0.253502, 0.0, 1.550796, 7.328521]","[-0.0884, 0.31638, -0.25067, 0.11909, -0.00054]","[-0.2159, -0.0405, 0.20827, 0.25886, -0.00139]","[0.8073, 0.4501, 0.4496, 0.6778, 16.6897]","[0.464, -0.3199, -0.0509, 0.3605, 2.97]","[-0.4624, 0.0574, 0.3018, -0.4279, -3.3032]","[0.10479, 0.02856, 0.02506, 0.06729, 13.2038]"
4612,3,3,"[37.35, 23.57, 9.81]","[2.1728, -1.5483, 0.3537]","[0.0, 29.02912, 29.14856]","[-0.17518, 0.15301, 0.04988]","[-1.19986, 0.16254, 0.06992]","[0.2918, 1.319, 2.8849]","[0.1209, -0.1273, -0.0246]","[-0.1636, -0.8552, -0.8518]","[0.02024, 0.58456, 1.89975]"
2142,3,2,"[43.1, 11.51, 0.77]","[4.2067, -1.4546, 0.0065]","[0.0, 224.9993, 239.778]","[-1.32792, 0.41178, 0.02436]","[-2.22227, 0.72007, 0.02656]","[0.4372, 1.1888, 14.7878]","[0.1933, 0.4983, -1.0796]","[-0.204, -0.6891, -5.8996]","[0.00109, 0.02495, 9.85399]"
4613,3,2,"[11.24, 13.48, 2.07]","[2.0404, -0.3927, 0.0113]","[0.0, 43.50704, 44.54866]","[0.01962, -0.00352, -0.00145]","[-0.71085, 0.14402, 0.01973]","[0.2293, 1.303, 11.0991]","[0.3213, 1.6226, 3.5615]","[-0.0251, -0.0752, 1.0449]","[0.01407, 0.63859, 9.7423]"
2144,3,2,"[23.03, 12.23, 0.19]","[3.3837, -0.3092, 0.0001]","[0.0, 21.50012, 28.40545]","[0.1582, 0.0075, 0.00012]","[-0.24148, 0.11303, 0.00114]","[0.3058, 0.7843, 100.0088]","[0.3086, 1.8079, 27.915]","[0.3018, -0.1093, -16.9499]","[0.01566, 0.35367, 98.8927]"
4614,3,2,"[13.77, 23.77, 0.11]","[-0.7526, 2.3461, 0.0001]","[99.74165, 0.0, 129.4335]","[-0.23576, 1.38166, -0.00146]","[-0.51315, 0.36979, -0.00269]","[0.8765, 0.2875, 120.4806]","[0.751, -0.1599, 38.2066]","[-0.8832, -0.2362, -19.7872]","[0.10768, 0.00256, 116.3807]"
4615,3,2,"[12.05, 12.49, 1.57]","[1.7465, -0.3172, 0.0132]","[0.0, 22.6794, 22.81907]","[-0.1769, 0.01369, 0.00248]","[-0.28214, 0.03237, 0.0067]","[0.2326, 1.7426, 10.9653]","[0.0106, 1.1611, 4.1593]","[-0.1276, -1.5348, -2.5514]","[0.00229, 0.81153, 9.44185]"
2154,3,2,"[23.64, 21.8, 0.19]","[5.8861, -1.5427, 0.0003]","[0.0, 180.1834, 211.8707]","[-1.98321, 0.52443, 0.0036]","[-1.84375, 0.88673, 0.00885]","[0.4732, 1.0553, 63.767]","[-0.0095, 0.3729, 21.6607]","[-0.3279, -0.7157, -8.8535]","[0.00173, 0.03954, 59.31708]"
2160,2,2,"[47.46, 14.78]","[4.1117, -1.4731]","[0.0, 913.2586]","[1.61439, -0.65883]","[2.51413, -0.48887]","[0.418, 1.4092]","[0.1267, -0.332]","[-0.2818, -0.8579]","[0.00071, 0.02533]"
4616,3,2,"[16.56, 35.2, 0.03]","[-0.5074, 2.0554, 0.0]","[108.6444, 0.0, 152.3559]","[-0.24046, 0.69404, -0.00055]","[-0.05756, 0.14057, -0.00012]","[0.6096, 0.2586, 490.6802]","[-1.3015, -0.24, -117.4403]","[-0.6553, -0.0744, -64.447]","[0.15532, 0.0079, 488.7921]"
