event_id,n_images_theory,n_images_detected,img_snrs,img_mags,img_delays_days,img_x_arcsec,img_y_arcsec,img_kappa,img_gamma1,img_gamma2,img_kappa_gal
0001,3,2,"[21.06, 15.13, 2.62]","[4.4344, -1.6234, 0.0278]","[0.0, 9.539925, 11.21091]","[0.39194, -0.24761, -0.01588]","[-0.51957, 0.22595, 0.01574]","[0.365, 0.8319, 7.3574]","[0.1113, -0.0869, -0.1223]","[0.4066, 0.7979, 2.1092]","[0.17419, 0.59139, 6.92248]"
0076,3,1,"[7.27, 10.46, 0.27]","[-1.4178, 2.7114, 0.0019]","[51.21723, 0.0, 69.73014]","[0.21293, 0.01752, 0.00233]","[-0.3876, 0.85592, -0.00739]","[0.6951, 0.3274, 25.3624]","[0.4006, 0.2892, 5.3702]","[0.7986, 0.0005, 4.95]","[0.30581, 0.05413, 24.40234]"
0012,5,1,"[2.15, 4.46, 8.76, 2.08, 0.0]","[2.3629, -2.6112, 6.1026, -2.2119, 0.0]","[0.0, 85.24977, 80.52451, 81.08211, 178.619]","[0.77622, -0.46186, -0.39057, -0.23595, -0.00021]","[-0.51859, -0.07976, 0.43914, 0.53505, 0.00037]","[0.3376, 0.5046, 0.4399, 0.701, 936.358]","[-0.0981, -0.6436, -0.0137, 0.5632, 518.3985]","[0.0769, -0.4628, 0.3869, 0.4737, 516.2622]","[0.00117, 0.00199, 0.01684, 0.27848, 934.3843]"
0013,3,1,"[1.35, 8.01, 0.0]","[-0.9042, 5.5518, 0.0]","[8.703146, 0.0, 21.19648]","[0.09094, -0.18977, 0.0001]","[-0.19931, 0.27974, -0.00019]","[0.425, 0.2834, 471.8171]","[0.8322, 0.2506, 69.7461]","[0.8626, 0.5203, 135.1209]","[0.14971, 0.04787, 470.886]"
0002,3,2,"[9.31, 8.26, 0.24]","[1.9787, -0.5677, 0.0014]","[0.0, 173.3315, 198.0242]","[-1.21738, 0.4443, 0.01498]","[1.76478, -0.56485, -0.01917]","[0.2355, 0.7326, 28.9129]","[0.1085, 0.3511, 0.801]","[0.2594, 1.3076, 6.9414]","[0.02985, 0.44314, 28.36381]"
0015,3,1,"[2.51, 15.87, 0.2]","[-0.5777, 4.9411, 0.0032]","[7.470811, 0.0, 9.415269]","[0.01296, -0.12001, 0.00051]","[-0.1558, 0.27579, -0.00546]","[0.9488, 0.3013, 21.019]","[1.2923, 0.3389, 9.2326]","[0.2523, 0.4135, 1.0802]","[0.73058, 0.13578, 20.52795]"
0017,3,1,"[10.04, 5.44, 0.15]","[6.4655, -2.3596, 0.0016]","[0.0, 5.685474, 10.65775]","[0.19534, -0.23364, -0.00204]","[-0.48788, 0.29257, 0.00277]","[0.3994, 0.6211, 27.4188]","[0.3362, 0.1501, 1.8912]","[0.305, 0.7381, 9.1435]","[0.11236, 0.29226, 26.21952]"
0077,3,1,"[13.01, 2.81, 0.02]","[2.4723, -0.74, 0.0]","[0.0, 26.30166, 47.84144]","[-0.19319, 0.08798, 0.00016]","[-0.32263, 0.17184, 0.00025]","[0.2369, 0.4091, 413.2539]","[0.2315, 0.8344, -4.2787]","[-0.3524, -1.0022, -87.0475]","[0.01903, 0.11667, 412.2181]"
0078,3,1,"[9.8, 4.18, 0.04]","[2.2535, -0.7064, 0.0]","[0.0, 100.5804, 148.9034]","[0.12319, 0.00248, -0.00015]","[-0.85677, 0.36856, 0.00148]","[0.2972, 0.6283, 247.7356]","[0.2209, 1.2339, 108.2291]","[0.0373, -0.1763, 33.9484]","[0.03016, 0.26318, 246.7683]"
0079,3,1,"[8.53, 3.51, 0.33]","[-2.3823, 2.28, 0.0035]","[5.66988, 0.0, 7.646078]","[0.05237, -0.11982, 0.00128]","[-0.15948, 0.28197, -0.00364]","[0.5286, 0.2401, 18.174]","[0.6105, 0.2262, 3.1765]","[0.519, 0.2961, 1.1734]","[0.31582, 0.07863, 17.63277]"
