event_id,n_images_theory,n_images_detected,img_snrs,img_mags,img_delays_days,img_x_arcsec,img_y_arcsec,img_kappa,img_gamma1,img_gamma2,img_kappa_gal
0001,3,2,"[21.06, 15.13, 2.62]","[4.4344, -1.6234, 0.0278]","[0.0, 9.539925, 11.21091]","[0.39194, -0.24761, -0.01588]","[-0.51957, 0.22595, 0.01574]","[0.365, 0.8319, 7.3574]","[0.1113, -0.0869, -0.1223]","[0.4066, 0.7979, 2.1092]","[0.17419, 0.59139, 6.92248]"
0012,5,1,"[2.15, 4.46, 8.76, 2.08, 0.0]","[2.3629, -2.6112, 6.1026, -2.2119, 0.0]","[0.0, 85.24977, 80.52451, 81.08211, 178.619]","[0.77622, -0.46186, -0.39057, -0.23595, -0.00021]","[-0.51859, -0.07976, 0.43914, 0.53505, 0.00037]","[0.3376, 0.5046, 0.4399, 0.701, 936.358]","[-0.0981, -0.6436, -0.0137, 0.5632, 518.3985]","[0.0769, -0.4628, 0.3869, 0.4737, 516.2622]","[0.00117, 0.00199, 0.01684, 0.27848, 934.3843]"
0013,3,1,"[1.35, 8.01, 0.0]","[-0.9042, 5.5518, 0.0]","[8.703146, 0.0, 21.19648]","[0.09094, -0.18977, 0.0001]","[-0.19931, 0.27974, -0.00019]","[0.425, 0.2834, 471.8171]","[0.8322, 0.2506, 69.7461]","[0.8626, 0.5203, 135.1209]","[0.14971, 0.04787, 470.886]"
0014,1,1,[14.83],[4.0576],[0.0],[-0.02037],[-0.0306],[0.4427],[0.1195],[-0.2232],[0.27173]
0015,3,1,"[2.51, 15.87, 0.2]","[-0.5777, 4.9411, 0.0032]","[7.470811, 0.0, 9.415269]","[0.01296, -0.12001, 0.00051]","[-0.1558, 0.27579, -0.00546]","[0.9488, 0.3013, 21.019]","[1.2923, 0.3389, 9.2326]","[0.2523, 0.4135, 1.0802]","[0.73058, 0.13578, 20.52795]"
0016,1,1,[10.24],[5.5547],[0.0],[-4.29701],[0.51037],[0.4056],[-0.4162],[-0.0085],[0.00063]
0017,3,1,"[10.04, 5.44, 0.15]","[6.4655, -2.3596, 0.0016]","[0.0, 5.685474, 10.65775]","[0.19534, -0.23364, -0.00204]","[-0.48788, 0.29257, 0.00277]","[0.3994, 0.6211, 27.4188]","[0.3362, 0.1501, 1.8912]","[0.305, 0.7381, 9.1435]","[0.11236, 0.29226, 26.21952]"
0018,1,1,[10.07],[5.1412],[0.0],[-0.77798],[0.1999],[0.3612],[-0.391],[0.2464],[0.02148]
0019,3,1,"[8.1, 1.86, 0.1]","[3.3485, -0.3382, 0.0024]","[0.0, 65.20074, 74.08681]","[0.52108, -0.23125, -0.01197]","[0.45266, -0.13313, -0.00721]","[0.3181, 1.3406, 26.1294]","[-0.0644, -0.9348, -6.8603]","[-0.4028, -1.4831, -12.9612]","[0.11936, 1.07844, 25.66926]"
0020,3,1,"[9.6, 2.41, 0.18]","[3.289, -0.2144, 0.0034]","[0.0, 2417.396, 2426.533]","[6.79018, -0.36186, -0.04915]","[-4.09217, 0.16513, 0.02133]","[0.4398, 2.2856, 19.8766]","[-0.0701, -1.6051, -5.7273]","[0.07, 1.934, 5.6411]","[0.00022, 0.72169, 17.51995]"
0021,1,1,[8.93],[4.7472],[0.0],[-1.06254],[0.53618],[0.4083],[-0.2513],[0.2764],[0.05612]
