event_id,n_images_theory,n_images_detected,img_snrs,img_mags,img_delays_days,img_x_arcsec,img_y_arcsec,img_kappa,img_gamma1,img_gamma2,img_kappa_gal
0121,3,1,"[3.63, 8.95, 0.68]","[-0.2942, 1.5384, 0.0142]","[17.078, 0.0, 17.58483]","[-0.08711, 0.59562, -0.01486]","[-0.17033, 0.40455, -0.02722]","[1.7472, 0.1527, 11.616]","[1.0594, -0.1098, 4.4246]","[-1.6836, -0.2362, -4.7777]","[1.56729, 0.0402, 11.34674]"
0203,3,0,"[5.65, 2.49, 0.04]","[2.5148, -0.2692, 0.0001]","[0.0, 44.57461, 57.31289]","[-1.04327, 0.38934, 0.00406]","[0.15444, -0.03105, -9e-05]","[0.2416, 0.8144, 141.7533]","[-0.3872, -1.8727, -61.9492]","[0.1662, 0.4921, -7.941]","[0.03266, 0.49153, 140.8875]"
0001,3,2,"[10.08, 11.8, 0.05]","[-0.7175, 2.5858, 0.0]","[19.30385, 0.0, 37.71724]","[0.22212, -0.41654, 0.00072]","[-0.12141, -0.01586, -0.00028]","[0.4677, 0.2129, 167.2785]","[-0.5999, -0.4823, -42.3123]","[1.1477, 0.0138, 39.513]","[0.27144, 0.05689, 166.6534]"
0122,3,1,"[9.44, 0.07, 5.01]","[1.3056, 0.0, -0.1355]","[0.0, 88.17374, 71.3901]","[0.41808, -0.00038, -0.07092]","[-1.10959, 0.00163, 0.29112]","[0.0832, 309.245, 0.3853]","[0.2378, 8.1581, 2.4672]","[0.1345, -11.0352, 1.2932]","[0.00529, 308.9022, 0.25354]"
0027,5,4,"[13.86, 16.47, 25.87, 22.43, 0.16]","[1.6131, -1.3461, 7.0208, -5.1537, 0.0002]","[0.0, 10.43895, 8.8362, 8.867912, 19.59335]","[-0.05118, -0.33669, 0.29124, 0.39641, -0.00028]","[-0.63924, 0.22299, 0.34662, 0.22806, 0.00115]","[0.1516, 0.3981, 0.2395, 0.3277, 71.9035]","[0.3158, -0.289, 0.1628, -0.3651, -16.9081]","[-0.0084, 1.0107, -0.6399, -0.7161, 2.6893]","[0.02164, 0.20023, 0.09382, 0.17736, 71.38295]"
0204,2,0,"[2.22, 2.88]","[5.7902, -1.8542]","[0.0, 1196.626]","[-1.28038, 0.22345]","[3.33012, -0.74213]","[0.499, 1.2259]","[0.2419, 0.6299]","[0.1406, 0.4399]","[0.00036, 0.03147]"
0123,3,1,"[8.86, 7.98, 0.53]","[2.4705, -0.4047, 0.0102]","[0.0, 22.55483, 23.9932]","[-0.16683, -0.02028, -0.00215]","[-0.79562, 0.28103, 0.03038]","[0.2578, 1.4863, 13.5079]","[0.3055, 1.6423, 7.3805]","[-0.2297, 0.1006, 1.9329]","[0.0807, 1.20426, 13.00231]"
0205,3,0,"[5.25, 6.52, 0.5]","[2.0564, -0.6033, 0.0035]","[0.0, 40.29839, 45.27312]","[0.72575, -0.26038, -0.01264]","[-0.34243, 0.11497, 0.00628]","[0.216, 0.753, 18.415]","[-0.2743, -0.9745, -1.5953]","[0.2307, 0.8768, 4.0862]","[0.0458, 0.50585, 17.94073]"
0206,3,0,"[5.13, 6.07, 0.09]","[-1.1491, 2.3123, 0.0008]","[9.746432, 0.0, 13.21339]","[-0.19698, 0.40593, -0.00286]","[0.02255, 0.08102, -1e-05]","[0.5459, 0.2624, 36.079]","[-0.9897, -0.3296, -5.6002]","[0.3113, -0.0548, -0.0549]","[0.25607, 0.04178, 35.31176]"
0031,3,1,"[12.83, 0.05, 3.28]","[3.4035, 0.0, -0.0596]","[0.0, 93.15163, 86.91712]","[0.17876, -0.00025, -0.00987]","[-0.72758, 0.00207, 0.10236]","[0.3623, 177.9647, 1.7103]","[0.3213, 55.5803, 4.0971]","[0.0985, 15.8465, 0.6982]","[0.00373, 175.8813, 0.84193]"
