event_id,n_images_theory,n_images_detected,img_snrs,img_mags,img_delays_days,img_x_arcsec,img_y_arcsec,img_kappa,img_gamma1,img_gamma2,img_kappa_gal
0001,3,2,"[10.08, 11.8, 0.05]","[-0.7175, 2.5858, 0.0]","[19.30385, 0.0, 37.71724]","[0.22212, -0.41654, 0.00072]","[-0.12141, -0.01586, -0.00028]","[0.4677, 0.2129, 167.2785]","[-0.5999, -0.4823, -42.3123]","[1.1477, 0.0138, 39.513]","[0.27144, 0.05689, 166.6534]"
0002,3,2,"[15.1, 14.28, 0.03]","[2.2666, -1.7635, 0.0]","[0.0, 44.94357, 82.09773]","[1.02724, -0.50823, -0.00161]","[-0.29191, 0.31236, 0.00047]","[0.2598, 0.4048, 155.6105]","[-0.2186, -0.2503, -41.8824]","[0.2426, 0.9267, 0.7525]","[0.03103, 0.10945, 154.5631]"
0003,3,2,"[14.49, 14.04, 0.14]","[3.9163, -1.5467, 0.0001]","[0.0, 3.495199, 7.31888]","[0.23325, -0.1231, -0.00047]","[0.14592, -0.13695, -0.00041]","[0.2356, 0.3585, 83.7135]","[-0.1754, 0.163, -4.2226]","[-0.5461, -1.0156, -5.1164]","[0.05872, 0.15357, 83.09274]"
0004,3,2,"[18.34, 17.46, 0.32]","[4.2084, -2.1111, 0.0013]","[0.0, 334.4081, 416.4123]","[-1.47154, -0.30299, -0.00091]","[-4.16273, 1.92006, 0.02834]","[0.446, 0.8427, 29.362]","[0.208, 0.6697, 6.8996]","[-0.1612, 0.2235, 3.4221]","[0.00933, 0.11651, 27.25693]"
0005,3,2,"[9.56, 17.69, 0.23]","[4.1571, -5.5984, 0.0025]","[0.0, 0.819229, 2.496925]","[0.13686, 0.16627, -0.00014]","[0.38218, -0.31105, -0.00142]","[0.3037, 0.4841, 21.4711]","[0.3287, 0.3367, 3.5274]","[-0.3691, 0.5757, 1.6459]","[0.18417, 0.35829, 21.07826]"
0006,3,2,"[10.08, 12.06, 0.23]","[2.1617, -0.9718, 0.0002]","[0.0, 11.2666, 21.47988]","[0.12534, 0.02127, -2e-05]","[-0.15793, 0.12403, 0.0005]","[0.1694, 0.3624, 77.5014]","[0.2255, 1.1536, 5.6256]","[0.42, -0.3236, -10.5626]","[0.04356, 0.2141, 77.08803]"
0007,3,2,"[15.4, 9.24, 0.73]","[1.9276, -0.5194, 0.0155]","[0.0, 17.78591, 18.337]","[-0.22918, 0.07868, 0.00983]","[0.45879, -0.0913, -0.01319]","[0.2515, 1.2654, 9.9484]","[0.1093, 0.0984, 0.9098]","[0.1718, 1.4092, 3.8206]","[0.03032, 0.78891, 9.13284]"
0008,3,2,"[8.87, 10.11, 0.85]","[-0.9176, 2.0177, 0.0043]","[53.09193, 0.0, 61.39471]","[0.15008, -0.52558, 0.00751]","[-0.72557, 1.76308, -0.03128]","[0.671, 0.2121, 16.6127]","[1.0071, 0.2987, 2.9654]","[0.4286, 0.1897, 1.3165]","[0.43158, 0.05328, 16.089]"
0009,3,2,"[10.47, 12.59, 0.12]","[1.6368, -0.3036, 0.0002]","[0.0, 124.2254, 146.8238]","[0.19228, -0.04732, -0.00092]","[-0.60658, 0.18937, 0.00333]","[0.1761, 0.695, 74.3286]","[0.2207, 1.6421, 15.4026]","[0.1382, 0.8312, 9.6892]","[0.0204, 0.44076, 73.73176]"
0010,3,2,"[10.03, 13.72, 0.03]","[6.2708, -10.9152, 0.0]","[0.0, 0.969496, 4.911582]","[0.09668, -0.07391, -5e-05]","[0.06672, -0.06993, -4e-05]","[0.3049, 0.3494, 159.8624]","[-0.1948, -0.0191, -9.8947]","[-0.5346, -0.7173, -20.1121]","[0.07028, 0.09987, 158.9445]"
0011,3,2,"[16.25, 27.26, 0.92]","[2.5469, -4.6966, 0.0028]","[0.0, 19.81557, 31.27202]","[1.52059, -0.76466, -0.01157]","[0.14477, -0.53317, -0.0022]","[0.2877, 0.4766, 20.1089]","[-0.3168, -0.1853, -1.4506]","[-0.12, -0.6727, 0.4274]","[0.06387, 0.19154, 19.37236]"
0012,3,2,"[25.16, 9.68, 0.02]","[3.9263, -1.1758, 0.0]","[0.0, 20.05021, 54.58272]","[-0.40505, 0.27536, 0.00027]","[0.06121, 0.06958, 3e-05]","[0.21, 0.3048, 319.4069]","[-0.5983, -0.9836, -49.3467]","[0.1068, -0.6052, -2.1241]","[0.04632, 0.11688, 318.7142]"
0013,3,2,"[11.35, 14.67, 0.94]","[4.1298, -6.3708, 0.0149]","[0.0, 80.9052, 94.55011]","[2.94775, -1.34692, -0.05334]","[-1.07704, 0.46276, 0.01105]","[0.4646, 0.7834, 9.6432]","[-0.1299, -0.2992, -2.7846]","[0.1661, 0.3382, -0.1472]","[0.01387, 0.09911, 7.91743]"
0014,3,2,"[11.92, 10.74, 0.31]","[-3.3505, 3.5227, 0.0045]","[386.901, 0.0, 434.4428]","[0.5316, -2.22372, 0.0208]","[-0.69665, 1.36011, -0.01499]","[0.8319, 0.4441, 16.3114]","[0.2636, -0.0295, -2.0911]","[0.5072, 0.1557, 2.6864]","[0.09104, 0.00645, 14.58656]"
0015,3,2,"[12.53, 8.24, 1.47]","[2.547, -0.6569, 0.0097]","[0.0, 782.8043, 813.5275]","[4.3751, -0.42292, -0.04651]","[-1.91844, 0.83629, 0.06188]","[0.365, 1.1045, 11.5531]","[0.015, 0.8067, 1.8111]","[0.1021, 0.9394, 2.1142]","[0.00628, 0.42393, 10.47841]"
0016,3,2,"[9.3, 25.02, 0.39]","[-0.8427, 3.393, 0.0009]","[239.486, 0.0, 292.1361]","[0.31012, -0.80491, 0.00595]","[-0.32663, 0.81971, -0.00735]","[0.7797, 0.3807, 37.4419]","[-0.1028, -0.0536, 6.432]","[1.1066, 0.2931, 11.4918]","[0.31205, 0.02923, 36.49178]"
