event_id,lens_einstein_radius,lens_max_sep,lens_flux_ratio,src_pos_x_arcsec,src_pos_y_arcsec,lens_type_flag,is_subhalo,subhalo_frac,host_halo_type,host_halo_z,host_halo_mass,host_halo_x,host_halo_y,host_halo_e,host_halo_pa,host_halo_param,central_gal_type,central_gal_z,central_gal_mass,central_gal_x,central_gal_y,central_gal_e,central_gal_pa,central_gal_param,shear_type,shear_z,shear_mass,shear_x,shear_y,shear_e,shear_pa,shear_param,subhalo_type,subhalo_z,subhalo_mass,subhalo_x,subhalo_y,subhalo_e,subhalo_pa,subhalo_param,satellite_type,satellite_z,satellite_mass,satellite_x,satellite_y,satellite_e,satellite_pa,satellite_param
0001,0.373917,0.6473303,0.2774821,-0.1044333,0.04090575,0,False,-1.0,0,1.091,1120893000000.0,0.0,0.0,0.2043602,4.847237,4.215729,1,1.091,37375930000.0,0.0,0.0,0.3692772,68.53539,0.04718224,2,1.091,2.58,0.0,0.0,0.08715269,38.77032,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0002,0.9058222,1.650099,0.7780526,0.2436975,-0.1251243,0,False,-1.0,0,0.602,2780258000000.0,0.0,0.0,0.2048933,79.59798,5.911294,1,0.602,90506150000.0,0.0,0.0,0.3450366,104.653,0.1037243,2,0.602,2.87,0.0,0.0,0.1398418,179.3364,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0003,0.2430153,0.4549666,0.3949534,0.04641307,0.04496167,0,False,-1.0,0,0.737,522627000000.0,0.0,0.0,0.1012555,51.293,5.018511,1,0.737,11567350000.0,0.0,0.0,0.178968,58.23013,0.04894823,2,0.737,4.13,0.0,0.0,0.07672897,153.293,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0004,3.052225,6.194015,0.5016473,-0.1085432,-0.9595737,0,False,-1.0,0,0.344,53148890000000.0,0.0,0.0,0.2789017,48.15385,8.034395,1,0.344,395145200000.0,0.0,0.0,0.2682041,40.12214,0.5145951,2,0.344,2.07,0.0,0.0,0.03021886,146.06,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0005,0.3417444,0.6938533,0.7425427,0.007357908,0.03113865,0,False,-1.0,0,0.212,491259200000.0,0.0,0.0,0.3151211,-84.55899,8.187015,1,0.212,17417090000.0,0.0,0.0,0.2464174,-148.9754,0.2188437,2,0.212,2.05,0.0,0.0,0.03821192,-92.2311,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0006,0.1714241,0.3005548,0.4495508,0.009084775,-0.04815023,0,False,-1.0,0,1.307,1089636000000.0,0.0,0.0,0.04899901,104.9803,4.93404,1,1.307,26526000000.0,0.0,0.0,0.3280592,124.1015,0.03726123,2,1.307,1.78,0.0,0.0,0.1288413,-17.22627,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0007,0.3010947,0.6303833,0.2694701,-0.1160837,0.1640842,0,False,-1.0,0,0.777,803733300000.0,0.0,0.0,0.4439667,82.67976,9.109657,1,0.777,18149300000.0,0.0,0.0,0.0709163,40.48632,0.09725428,2,0.777,2.78,0.0,0.0,0.04788949,-55.33301,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0008,1.312235,2.578734,0.4548015,-0.1708002,0.6717364,0,False,-1.0,0,0.218,4253338000000.0,0.0,0.0,0.3143497,123.8262,7.383244,1,0.218,140822200000.0,0.0,0.0,0.1314538,108.5489,0.4679767,2,0.218,2.62,0.0,0.0,0.01067754,-149.8435,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0009,0.3629314,0.8312305,0.1854555,0.07959268,-0.2964577,0,False,-1.0,0,1.141,3239387000000.0,0.0,0.0,0.2054861,163.9509,5.85951,1,1.141,94189850000.0,0.0,0.0,0.03704047,210.3,0.06135328,2,1.141,1.61,0.0,0.0,0.0491676,-70.38197,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0010,0.1104827,0.2185712,0.5745061,0.008026739,0.006244534,0,False,-1.0,0,1.649,461497300000.0,0.0,0.0,0.1981971,10.81117,5.299657,1,1.649,5057235000.0,0.0,0.0,0.09185492,-70.32445,0.01795437,2,1.649,3.37,0.0,0.0,0.01407632,-115.8262,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
