event_id,n_images_theory,n_images_detected,img_snrs,img_mags,img_delays_days,img_x_arcsec,img_y_arcsec,img_kappa,img_gamma1,img_gamma2,img_kappa_gal
0027,5,4,"[13.86, 16.47, 25.87, 22.43, 0.16]","[1.6131, -1.3461, 7.0208, -5.1537, 0.0002]","[0.0, 10.43895, 8.8362, 8.867912, 19.59335]","[-0.05118, -0.33669, 0.29124, 0.39641, -0.00028]","[-0.63924, 0.22299, 0.34662, 0.22806, 0.00115]","[0.1516, 0.3981, 0.2395, 0.3277, 71.9035]","[0.3158, -0.289, 0.1628, -0.3651, -16.9081]","[-0.0084, 1.0107, -0.6399, -0.7161, 2.6893]","[0.02164, 0.20023, 0.09382, 0.17736, 71.38295]"
0029,1,1,[8.92],[3.2011],[0.0],[-2.4462],[1.11592],[0.3439],[-0.2529],[0.2325],[0.00173]
0030,1,1,[8.64],[5.3237],[0.0],[0.04656],[0.0505],[0.4811],[0.0092],[-0.2852],[0.0032]
0031,3,1,"[12.83, 0.05, 3.28]","[3.4035, 0.0, -0.0596]","[0.0, 93.15163, 86.91712]","[0.17876, -0.00025, -0.00987]","[-0.72758, 0.00207, 0.10236]","[0.3623, 177.9647, 1.7103]","[0.3213, 55.5803, 4.0971]","[0.0985, 15.8465, 0.6982]","[0.00373, 175.8813, 0.84193]"
0032,1,1,[27.29],[5.2746],[0.0],[0.11987],[0.88612],[0.4341],[0.3441],[-0.1105],[0.07155]
0033,1,1,[21.01],[3.0926],[0.0],[-0.00778],[0.3106],[0.3224],[0.367],[0.0337],[0.03355]
0034,1,1,[14.83],[3.2587],[0.0],[-0.28843],[-0.57881],[0.3655],[0.1849],[-0.248],[0.00831]
0035,3,2,"[5.37, 10.98, 18.52]","[-1.2301, -10.4881, 11.828]","[99.87396, 45.11175, 44.96586]","[-0.01051, -0.67892, -0.80814]","[-0.5219, 0.4746, 0.34662]","[0.7859, 0.5453, 0.5116]","[0.9241, 0.0629, -0.0446]","[0.0693, 0.546, 0.3899]","[0.03856, 0.00354, 0.00264]"
0036,1,1,[18.89],[12.8761],[0.0],[-5.60812],[-3.74463],[0.5962],[-0.008],[-0.2921],[0.00065]
0037,3,1,"[12.18, 3.4, 0.31]","[4.7643, -0.1122, 0.0025]","[0.0, 331.3412, 335.2198]","[-0.86738, 0.04797, 0.00716]","[2.00195, -0.22839, -0.03034]","[0.4247, 2.8248, 25.0846]","[0.2262, 3.2404, 12.0202]","[0.2643, 1.3204, 5.6779]","[0.00445, 1.31569, 22.5355]"
