event_id,lens_einstein_radius,lens_max_sep,lens_flux_ratio,src_pos_x_arcsec,src_pos_y_arcsec,lens_type_flag,is_subhalo,subhalo_frac,host_halo_type,host_halo_z,host_halo_mass,host_halo_x,host_halo_y,host_halo_e,host_halo_pa,host_halo_param,central_gal_type,central_gal_z,central_gal_mass,central_gal_x,central_gal_y,central_gal_e,central_gal_pa,central_gal_param,shear_type,shear_z,shear_mass,shear_x,shear_y,shear_e,shear_pa,shear_param,subhalo_type,subhalo_z,subhalo_mass,subhalo_x,subhalo_y,subhalo_e,subhalo_pa,subhalo_param,satellite_type,satellite_z,satellite_mass,satellite_x,satellite_y,satellite_e,satellite_pa,satellite_param
0027,0.7410271,1.043631,1.0,0.01600046,-0.1342408,0,False,-1.0,0,0.428,1420571000000.0,0.0,0.0,0.5368239,-121.7341,4.738065,1,0.428,38051230000.0,0.0,0.0,0.5565038,-89.30133,0.1155901,2,0.428,2.82,0.0,0.0,0.08783539,84.14152,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0029,1.631437,0.0,0.0,6.874206,-0.2714776,0,True,0.3051008,2,0.499,221126500000000.0,98.4519,-2.947552,0.6200246,-89.98113,3.545344,3,0.499,498128000000.0,98.4519,-2.947552,0.2115089,-111.2023,0.5154854,4,0.499,3.32,0.0,0.0,0.02309141,-130.7553,0.0,0,0.499,3746689000000.0,0.0,0.0,0.2435551,118.3638,21.88761,1,0.499,51238660000.0,0.0,0.0,0.3866028,117.1615,0.2052568
0030,0.03354818,0.0,0.0,0.037591,0.09482284,0,True,0.2924715,2,0.935,151223200000.0,0.3290269,2.735244,0.2917643,-140.9799,5.868402,3,0.935,1181339000.0,0.3290269,2.735244,0.3899999,-126.0345,0.1109219,4,0.935,2.88,0.0,0.0,0.03540089,113.3161,0.0,0,0.935,20846130000.0,0.0,0.0,0.1754423,135.5038,39.0436,1,0.935,26316540.0,0.0,0.0,0.1831266,145.5446,0.06271171
0031,0.372123,0.8511078,0.01752134,-0.2722297,-1.138258,0,True,0.2918998,2,0.972,10324900000000.0,-0.8294764,-3.53907,0.3872898,-158.7366,6.167291,3,0.972,76654830000.0,-0.8294764,-3.53907,0.453189,-174.192,0.2073347,4,0.972,1.81,0.0,0.0,0.05040646,-152.2633,0.0,0,0.972,733793200000.0,0.0,0.0,0.2875754,172.7758,16.28536,1,0.972,27577650000.0,0.0,0.0,0.141459,194.7753,0.0263428
0032,0.5245638,0.0,0.0,1.353531,0.1108678,0,True,0.305847,2,0.407,9653927000000.0,34.08311,-1.64417,0.3007285,-23.88204,4.175387,3,0.407,124345500000.0,34.08311,-1.64417,0.2058924,17.01927,0.3574262,4,0.407,2.04,0.0,0.0,0.02594711,108.0743,0.0,0,0.407,671692000000.0,0.0,0.0,0.3244682,154.0218,28.71486,1,0.407,39222910000.0,0.0,0.0,0.3679819,156.0739,0.4434336
0033,0.1836596,0.0,0.0,-0.01014632,0.1634914,0,False,-1.0,0,0.961,431402300000.0,0.0,0.0,0.2050119,83.51853,13.40685,1,0.961,9246394000.0,0.0,0.0,0.1858865,96.52637,0.1360985,2,0.961,2.54,0.0,0.0,0.1553817,3.249303,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0034,0.2945802,0.0,0.0,0.3405736,0.7083058,0,True,0.2750276,2,1.921,7808564000000.0,2.11903,5.054301,0.4178262,-129.0446,3.536471,3,1.921,79881920000.0,2.11903,5.054301,0.3990361,-180.6871,0.06718218,4,1.921,6.47,0.0,0.0,0.005386486,-40.16718,0.0,0,1.921,552571800000.0,0.0,0.0,0.3801853,129.4565,12.08502,1,1.921,11232100000.0,0.0,0.0,0.2916563,143.7676,0.08458344
0035,0.7599047,1.199915,0.886723,-0.192288,0.5691324,0,True,0.2751329,2,1.223,4268626000000.0,-1.080249,1.554425,0.2240696,98.1128,3.128589,3,1.223,80886170000.0,-1.080249,1.554425,0.3011333,145.9492,0.06548091,4,1.223,3.0,0.0,0.0,0.09401562,14.54434,0.0,0,1.223,1961298000000.0,0.0,0.0,0.1631557,-19.21538,16.06037,1,1.223,54403770000.0,0.0,0.0,0.3549595,-9.590013,0.03049239
0036,2.638745,0.0,0.0,-7.75937,-7.951022,0,True,0.3033906,2,0.411,168501800000000.0,-12.40667,-13.55981,0.2072653,138.818,5.791421,3,0.411,511597500000.0,-12.40667,-13.55981,0.3407178,146.7388,0.6947202,4,0.411,3.42,0.0,0.0,0.09316711,50.63258,0.0,0,0.411,5067077000000.0,0.0,0.0,0.374103,-54.26774,19.11278,1,0.411,111465400000.0,0.0,0.0,0.3640813,-57.57018,0.1582329
0037,1.083318,2.410867,0.02354662,0.5675387,-1.488746,0,True,0.281854,2,0.739,48854640000000.0,27.86934,-64.92742,0.4381637,-145.3168,4.933477,3,0.739,180063400000.0,27.86934,-64.92742,0.6329971,-123.9988,0.1017439,4,0.739,2.03,0.0,0.0,0.03978537,-113.2361,0.0,0,0.739,8601892000000.0,0.0,0.0,0.4379356,177.6608,12.57021,1,0.739,106443300000.0,0.0,0.0,0.1866394,191.7869,0.1268521
