event_id,n_images_theory,n_images_detected,img_snrs,img_mags,img_delays_days,img_x_arcsec,img_y_arcsec,img_kappa,img_gamma1,img_gamma2,img_kappa_gal
0117,3,2,"[11.99, 10.17, 1.41]","[-1.9631, 2.0285, 0.1693]","[57.06756, 0.0, 57.46638]","[-0.14537, 0.79479, -0.04169]","[0.02554, 0.00491, 0.00607]","[1.1504, 0.2922, 3.7087]","[-0.6785, -0.084, -1.1048]","[0.2677, 0.0307, 0.46]","[0.44653, 0.00904, 2.60913]"
0035,3,2,"[5.37, 10.98, 18.52]","[-1.2301, -10.4881, 11.828]","[99.87396, 45.11175, 44.96586]","[-0.01051, -0.67892, -0.80814]","[-0.5219, 0.4746, 0.34662]","[0.7859, 0.5453, 0.5116]","[0.9241, 0.0629, -0.0446]","[0.0693, 0.546, 0.3899]","[0.03856, 0.00354, 0.00264]"
0050,5,4,"[11.07, 29.01, 9.84, 19.71, 0.33]","[2.3702, 8.7182, -2.1112, -7.1699, 0.0023]","[0.0, 8.875186, 10.98881, 8.968092, 18.95688]","[-0.66597, 0.4779, 0.15508, 0.34523, 0.0032]","[-0.17292, -0.10447, 0.39865, -0.29614, 0.00192]","[0.3132, 0.4078, 0.5996, 0.4407, 22.3899]","[-0.2068, -0.3577, 0.6873, 0.038, -0.6287]","[-0.0836, 0.3287, -0.4021, 0.6715, -4.6457]","[0.07209, 0.13234, 0.26872, 0.1506, 21.4275]"
0118,3,2,"[20.32, 20.54, 0.05]","[2.0979, -2.0355, 0.0]","[0.0, 24.01059, 39.57726]","[-0.48797, 0.25912, 0.00063]","[-0.15082, 0.03629, 0.00026]","[0.2462, 0.4363, 171.0771]","[-0.2834, -0.892, 10.9464]","[-0.1058, -0.1151, -35.7062]","[0.01106, 0.0613, 169.0754]"
0119,3,2,"[9.19, 8.3, 0.33]","[-2.6127, 2.0739, 0.0213]","[79.7696, 0.0, 83.48653]","[-0.69871, 2.6475, -0.05358]","[-0.26305, 0.3649, -0.01547]","[0.9041, 0.2893, 7.9916]","[-0.4765, -0.1508, -0.5863]","[-0.4061, 0.0115, -1.2918]","[0.10517, 0.00344, 5.83906]"
0061,3,2,"[16.7, 11.35, 0.17]","[-3.3184, 2.7818, 0.0003]","[142.9338, 0.0, 198.59]","[-0.32829, 0.61988, -0.00165]","[-0.21687, 0.46089, -0.00159]","[0.6258, 0.3176, 61.8645]","[-0.2809, -0.0887, 7.7795]","[-0.602, -0.3136, -5.1732]","[0.03564, 0.0057, 57.89498]"
0120,3,2,"[14.79, 9.07, 0.48]","[1.8724, -0.2117, 0.0005]","[0.0, 87.35332, 96.40223]","[0.5221, -0.14793, -0.00514]","[0.23079, 0.00771, 0.00014]","[0.2114, 1.1378, 46.7788]","[-0.2536, -2.1707, -15.8641]","[-0.1533, 0.1738, 4.7159]","[0.0142, 0.64762, 45.59612]"
0077,3,2,"[10.95, 35.73, 0.59]","[-1.2591, 4.2204, 0.0092]","[42.11377, 0.0, 49.24276]","[0.24199, -0.30941, 0.00973]","[-0.20562, 0.64014, -0.00945]","[0.921, 0.3968, 11.8994]","[-0.1632, 0.2068, -0.5207]","[0.8797, 0.2901, 3.0886]","[0.23928, 0.03394, 9.87712]"
0081,3,2,"[13.83, 10.05, 5.35]","[2.6758, -6.8433, 0.3012]","[0.0, 7.496583, 7.791933]","[0.11978, -0.04491, -0.00745]","[-0.4574, 0.17506, 0.0325]","[0.3283, 0.8232, 2.8527]","[0.2685, 0.3809, 0.2661]","[0.0736, 0.1798, 0.2044]","[0.02928, 0.19896, 1.47906]"
0089,3,2,"[11.89, 31.53, 0.41]","[3.2593, -5.4229, 0.0058]","[0.0, 48.11159, 65.35906]","[1.79848, -0.91345, -0.01692]","[-0.37251, 0.59289, 0.00847]","[0.3579, 0.6651, 14.3827]","[-0.3028, -0.2187, 0.1832]","[0.1177, 0.4987, 2.806]","[0.00696, 0.03872, 10.07498]"
0107,4,3,"[30.21, 7.65, 17.13, 26.7]","[5.9986, -1.4879, -6.2093, 3.6139]","[13.19145, 71.48974, 16.77959, 0.0]","[0.57711, -0.60544, 0.82754, 0.30272]","[-0.66751, -0.1364, -0.02536, 0.94573]","[0.3789, 0.6699, 0.4775, 0.387]","[-0.047, -0.8281, -0.6566, 0.2216]","[0.4657, -0.3088, 0.0538, -0.2236]","[0.00205, 0.00947, 0.00324, 0.00303]"
0109,3,2,"[18.45, 26.86, 2.24]","[-1.5436, 3.8556, 0.0146]","[17.05497, 0.0, 20.36144]","[-0.00059, 0.15919, -0.00162]","[-0.26311, 0.53147, -0.01334]","[0.7605, 0.373, 9.6738]","[0.823, 0.3559, 2.2537]","[0.1667, -0.0841, -1.3444]","[0.41803, 0.10975, 9.00304]"
0116,5,3,"[8.9, 10.68, 5.58, 19.96, 0.19]","[2.4672, -4.727, -0.4813, 4.9832, 0.0018]","[0.0, 5.788459, 25.38703, 5.478503, 31.13141]","[-0.11266, -0.44887, 0.20969, -0.41755, 0.00533]","[-0.51069, 0.04012, 0.06875, 0.24736, 0.00196]","[0.2796, 0.5077, 1.0153, 0.3946, 26.5819]","[0.1982, -0.6727, -1.1028, -0.3117, -8.8149]","[-0.2726, -0.0366, -0.9283, 0.262, -4.1785]","[0.02346, 0.10057, 0.44314, 0.05854, 25.02308]"
