event_id,lens_einstein_radius,lens_max_sep,lens_flux_ratio,src_pos_x_arcsec,src_pos_y_arcsec,lens_type_flag,is_subhalo,subhalo_frac,host_halo_type,host_halo_z,host_halo_mass,host_halo_x,host_halo_y,host_halo_e,host_halo_pa,host_halo_param,central_gal_type,central_gal_z,central_gal_mass,central_gal_x,central_gal_y,central_gal_e,central_gal_pa,central_gal_param,shear_type,shear_z,shear_mass,shear_x,shear_y,shear_e,shear_pa,shear_param,subhalo_type,subhalo_z,subhalo_mass,subhalo_x,subhalo_y,subhalo_e,subhalo_pa,subhalo_param,satellite_type,satellite_z,satellite_mass,satellite_x,satellite_y,satellite_e,satellite_pa,satellite_param
0117,0.368615,0.9403824,0.9677608,0.3788528,1.333679,0,True,0.2900357,2,1.189,20542170000000.0,2.558439,8.788363,0.4820686,-32.8498,3.081441,3,1.189,97372260000.0,2.558439,8.788363,0.3152851,0.7376175,0.1171668,4,1.189,3.44,0.0,0.0,0.07735956,-142.0411,0.0,0,1.189,707542600000.0,0.0,0.0,0.413785,176.2211,12.14812,1,1.189,32297210000.0,0.0,0.0,0.3234754,188.7903,0.1505014
0035,0.7599047,1.199915,0.886723,-0.192288,0.5691324,0,True,0.2751329,2,1.223,4268626000000.0,-1.080249,1.554425,0.2240696,98.1128,3.128589,3,1.223,80886170000.0,-1.080249,1.554425,0.3011333,145.9492,0.06548091,4,1.223,3.0,0.0,0.0,0.09401562,14.54434,0.0,0,1.223,1961298000000.0,0.0,0.0,0.1631557,-19.21538,16.06037,1,1.223,54403770000.0,0.0,0.0,0.3549595,-9.590013,0.03049239
0050,0.4878687,1.145917,1.0,-0.5432064,0.3744408,0,True,0.2839459,2,0.59,2970284000000.0,-10.30882,7.402724,0.3450291,-106.5857,5.09998,3,0.59,61420120000.0,-10.30882,7.402724,0.09482559,-179.7584,0.3540887,4,0.59,3.91,0.0,0.0,0.1421616,12.99942,0.0,0,0.59,1116755000000.0,0.0,0.0,0.2443813,-14.77811,7.559608,1,0.59,48402440000.0,0.0,0.0,0.1956381,-31.7653,0.2091354
0118,0.2940536,0.7701665,0.9702429,-0.8763023,0.1950089,0,True,0.2983479,2,0.814,9401880000000.0,-21.85307,5.650657,0.1164978,130.6602,3.538506,3,0.814,84069890000.0,-21.85307,5.650657,0.2003806,83.93186,0.2442308,4,0.814,1.59,0.0,0.0,0.09309326,30.86917,0.0,0,0.814,569584600000.0,0.0,0.0,0.1054623,167.1313,16.9106,1,0.814,30321470000.0,0.0,0.0,0.4041987,162.5929,0.03994118
0119,1.299235,3.404611,0.7937809,2.992191,-2.568449,0,True,0.3029715,2,0.224,32109200000000.0,25.53635,-40.12738,0.3172725,-13.93456,6.099807,3,0.224,298451700000.0,25.53635,-40.12738,0.3189857,-47.18765,1.599977,4,0.224,5.28,0.0,0.0,0.07688408,-162.2767,0.0,0,0.224,2869863000000.0,0.0,0.0,0.300311,-20.40267,25.42346,1,0.224,63394680000.0,0.0,0.0,0.5367634,-0.912288,0.3702853
0061,0.5162545,1.165499,0.8383058,-0.0008045443,-0.3837888,0,True,0.2716388,2,2.023,4979865000000.0,-2.693925,-8.515696,0.01276966,57.27393,4.032722,3,2.023,63098960000.0,-2.693925,-8.515696,0.1534819,1.932466,0.03373367,4,2.023,3.53,0.0,0.0,0.02987717,51.57724,0.0,0,2.023,1729579000000.0,0.0,0.0,0.1841404,-126.5473,16.56938,1,2.023,66111690000.0,0.0,0.0,0.3712056,-165.1804,0.06642029
0120,0.365513,0.7061946,0.1130796,0.1036781,0.3125407,0,True,0.2797357,2,1.145,5137066000000.0,-12.10422,21.78098,0.1609315,-169.1542,4.460168,3,1.145,84489130000.0,-12.10422,21.78098,0.5057948,-140.7293,0.06418982,4,1.145,1.7,0.0,0.0,0.07435882,68.91251,0.0,0,1.145,1332429000000.0,0.0,0.0,0.4066762,66.7729,12.55582,1,1.145,57673850000.0,0.0,0.0,0.2806968,60.05778,0.0585644
0077,0.5498365,1.009626,0.2983312,0.30529,-0.616847,0,True,0.2883157,2,0.813,11099880000000.0,13.0417,-19.55727,0.3003882,-76.27591,3.36318,3,0.813,101748400000.0,13.0417,-19.55727,0.4985917,-103.4264,0.1807958,4,0.813,1.58,0.0,0.0,0.05870764,114.3178,0.0,0,0.813,1448665000000.0,0.0,0.0,0.3321362,-128.7376,18.60925,1,0.813,62157430000.0,0.0,0.0,0.1090525,-82.91664,0.1773802
0081,0.4064826,0.653553,0.391016,-0.3250565,-1.945356,0,True,0.3165608,2,0.576,17168030000000.0,-7.631359,-29.77038,0.1856567,135.4968,4.605207,3,0.576,97039850000.0,-7.631359,-29.77038,0.03940424,121.4393,0.526714,4,0.576,3.09,0.0,0.0,0.04689766,-28.14853,0.0,0,0.576,336802000000.0,0.0,0.0,0.4055205,-94.59034,23.48925,1,0.576,13705740000.0,0.0,0.0,0.3756882,-75.51407,0.2374368
0089,1.268381,2.878641,0.6010316,-0.2268167,1.01539,0,True,0.2897079,2,0.32,7130941000000.0,-13.57637,25.14351,0.09687319,68.53819,7.369661,3,0.32,141104900000.0,-13.57637,25.14351,0.6522552,13.42458,0.5982632,4,0.32,2.52,0.0,0.0,0.05262517,151.3596,0.0,0,0.32,1951433000000.0,0.0,0.0,0.08082733,-166.0855,34.45089,1,0.32,51992610000.0,0.0,0.0,0.4228911,-170.284,0.3015282
